,name of item,price (RM),number of downloads,item URL
10,"Printable Birthday Card, Instant Download, Digital Greeting Card, Happy Birthday Card, Print at Home",7.88,61.0,https://www.etsy.com/listing/1582366147/printable-birthday-card-instant-download?click_key=6a70ec408bcdd654080d19bd651df7653aa422a2%3A1582366147&click_sum=e4cc978d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-1004834-1-7&pro=1&sts=1&dd=1
11,"Printable Birthday Card with Flowers, Floral Birthday Card, Printable Greeting Card, Print at Home",12.55,141.0,https://www.etsy.com/listing/1450713895/printable-birthday-card-with-flowers?click_key=6b1b651814d1010881f98602f020594f2d958d33%3A1450713895&click_sum=21b53763&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-1004834-1-8&pro=1&sts=1&dd=1
12,"EDITABLE Trampoline Park Birthday Invitation, Trampoline Invitation, Jump Party Invitation, Jump Birthday Party Invitation, Glow Galaxy",25.32,1400.0,https://www.etsy.com/listing/1493528528/editable-trampoline-park-birthday?click_key=108859777ec817ba793fdef00e23917b02398586%3A1493528528&click_sum=a6bd6833&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254793-1-5&pro=1&bes=1&sts=1&dd=1
13,Editable Birthday Card | Birthday Invitees | Invitation Template | Printable Modern Party Digital Invitation Template,26.73,4.0,https://www.etsy.com/listing/1479010643/editable-birthday-card-birthday-invitees?click_key=94818c571a1d8d00381dfb4e42927336084303c7%3A1479010643&click_sum=34ca7747&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254793-1-6&dd=1
14,"Conversation Hearts Birthday Invitation, Valentine Birthday Invite, Sweetheart Birthday Invite, Conversation Hearts, Editable Template",26.42,2000.0,https://www.etsy.com/listing/1371376574/conversation-hearts-birthday-invitation?click_key=c765c8e78ea89392fa04e16a13f0f5c083b3a267%3A1371376574&click_sum=b5464ac2&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254793-1-7&pro=1&bes=1&sts=1&dd=1
15,"Leap Year Birthday Invite, February 29 Birthday Invitation, Printable Feb 29 Boy Birthday Party Invitation Blue, Funny",29.61,5.0,https://www.etsy.com/listing/1660179147/leap-year-birthday-invite-february-29?click_key=f51b68fc9b01153506ff56466cba2aae5c550ea3%3A1660179147&click_sum=fc9d94e5&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254793-1-8&pro=1&dd=1
16,Canva Digital 5x7 Greeting Card Template for Etsy Sellers - Easily create the PDF Templates ready for your customer to download!,20.39,166.0,https://www.etsy.com/listing/1528387827/canva-digital-5x7-greeting-card-template?click_key=53f6537d34498880d85f58b6fabade07c4548c75%3A1528387827&click_sum=06ec68b3&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-9&pro=1&sts=1&dd=1
17,"Printable Birthday Card, Instant Download, Digital Greeting Card, Happy Birthday Card, Print at Home",9.47,61.0,https://www.etsy.com/listing/1613067224/printable-birthday-card-instant-download?click_key=aa631343b7f691155d1ece4ef8c5a2b1fa127f91%3A1613067224&click_sum=a2ae53d8&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-10&pro=1&sts=1&dd=1
18,"5""x7"" Invitation Card template, postcard, SVG, DXF, Ms Word docx, Png, Psd, 8.5""x11"" sheet, Canva, Printable, Instant Download",10.47,21300.0,https://www.etsy.com/listing/985719741/5x7-invitation-card-template-postcard?click_key=7cdd7bbb73dafccf11f96d3e0e31d937ef08ba30%3A985719741&click_sum=556c3f4f&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-11&pro=1&dd=1
19,Printable Birthday Card Floral Birthday Card Flower Birthday Card Print at Home Birthday Card Happy Birthday Card for Her Digital Download,3.79,5400.0,https://www.etsy.com/listing/1539893427/printable-birthday-card-floral-birthday?click_key=330b8aeceb6bcff8c9fde76b77d271261ed66a62%3A1539893427&click_sum=e4de1f61&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-12&pro=1&sts=1&dd=1
20,Personalized letter package template for DIY cards *Digital file* to print out!,15.86,42.0,https://www.etsy.com/listing/1593280711/personalized-letter-package-template-for?click_key=83ae280c737beac010ae8ea061c9d92f753f6ea0%3A1593280711&click_sum=29ee13ff&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-13&bes=1&dd=1
21,Cricut Birthday Butterfly Card Template PNG & SVG File Instant Download,15.74,135.0,https://www.etsy.com/listing/977698752/cricut-birthday-butterfly-card-template?click_key=583845799c30dd7b3118fa4434ccd6a85f7764a9%3A977698752&click_sum=024cf4f8&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-14&dd=1
22,Happy Birthday Card - DIGITAL Download - Printable Birthday Card Featuring Colorful Cupcake - Printable Happy Birthday Card - Printable Card,10.52,219.0,https://www.etsy.com/listing/1559474169/happy-birthday-card-digital-download?click_key=817e2f7fc75afb8cb0151c5e194d589f6048c220%3A1559474169&click_sum=e8cae0ab&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-15&bes=1&sts=1&dd=1
23,Printable Greeting Card Canva Template Bundle 5x7 4x6 Editable Drag and Drop Canva Card Template Commercial Use Card Design A4 US Letter POD,17.80,38.0,https://www.etsy.com/listing/1552527198/printable-greeting-card-canva-template?click_key=e715876f22cb9b6d0b2f83feaaa0c66d32930534%3A1552527198&click_sum=0735750f&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-16&pro=1&bes=1&sts=1&dd=1
24,"Editable Stitch Birthday Invitation Template, Printable Birthday Party Invitations, Digital Bday Card Invite, Digital Kids Party Invite,",13.21,17.0,https://www.etsy.com/listing/1589217311/editable-stitch-birthday-invitation?click_key=1c05811c405cef662dd64d3e0c61e3c8e87a0b06%3A1589217311&click_sum=0f7863de&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254793-1-9&pro=1&dd=1
25,Princess birthday invitation editable princess birthday party invitation princesses birthday invitation princess party invitations PR2 PR3,14.51,22.0,https://www.etsy.com/listing/1640189429/princess-birthday-invitation-editable?click_key=2511cf28d070bdd92b071f4e593e116164e9bae1%3A1640189429&click_sum=d815b074&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254793-1-10&pro=1&bes=1&dd=1
26,"JULIANNE Minimalist Details Card Template | Instant Download - Canva | Modern Wedding Fully Editable DIY 5x7"" Digital Download",20.74,8.0,https://www.etsy.com/listing/1320477155/julianne-minimalist-details-card?click_key=ef0286e22993b8224adf918f7d12b3508d138c81%3A1320477155&click_sum=2adb996a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254793-1-11&pro=1&dd=1
27,Happy Birthday Printable Card / Printable Birthday Card / Instant Digital Download / Birthday Cake Card Download / Birthday Balloons Card,10.02,33.0,https://www.etsy.com/listing/1658584393/happy-birthday-printable-card-printable?click_key=0246e115b1b6c3ac3c30800e3b2fd1bf52495d38%3A1658584393&click_sum=df034718&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254793-1-12&dd=1
28,DIY Crocus Flower Pop-up Card SVG and PDF template for instant download,16.70,1700.0,https://www.etsy.com/listing/1191168687/diy-crocus-flower-pop-up-card-svg-and?click_key=01603f8174d887cefe79a71cc40b6064f9d0c411%3A1191168687&click_sum=b955d637&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-17&pro=1&bes=1&sts=1&dd=1
29,"Editable Blank Card Templates for CANVA, 5""x7"" & 4""x6"", Foldable Card Templates, Digital Download Card Templates, Portrait Landscape",8.46,51.0,https://www.etsy.com/listing/1405398829/editable-blank-card-templates-for-canva?click_key=5c3511d9835bfc12622f8ccd27b7d6b93a70695c%3A1405398829&click_sum=e123f6f3&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-18&dd=1
30,"Drag and Drop Greeting Card Templates, Editable Canva Templates, Blank Templates, 3x4, 3x5, 4x5, 4x6, 5x7, 4.75x4.75 Foldable Cards Download",23.01,711.0,https://www.etsy.com/listing/1484277917/drag-and-drop-greeting-card-templates?click_key=7349b6283269d7925388a3168dbe9323e51ffc36%3A1484277917&click_sum=c83b6303&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-19&pro=1&sts=1&dd=1
31,Happy Birthday Card - DIGITAL Download - Printable Birthday Card Featuring Balloons & Gold Stars - Printable Happy Birthday Card,10.52,219.0,https://www.etsy.com/listing/1521518505/happy-birthday-card-digital-download?click_key=ad296ba6001eff859c191e5b83ccdc8f90bbc3e7%3A1521518505&click_sum=609c1dcf&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-20&bes=1&sts=1&dd=1
32,Simple Birthday Card and Envelope Template | Papercut SVG Card Cut File | Cricut Silhouette DIY,5.90,2.0,https://www.etsy.com/listing/1530643341/simple-birthday-card-and-envelope?click_key=3a26323c41d75a838d2b6e3ee39c027eb78e4dbb%3A1530643341&click_sum=436bf541&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-21&dd=1
33,"Printable Birthday Card, Instant Download, Digital Greeting Card, Happy Birthday Card, Print at Home",9.47,61.0,https://www.etsy.com/listing/1611518541/printable-birthday-card-instant-download?click_key=1e9d44e5f4da8ec1639667a65e9a681ea2060808%3A1611518541&click_sum=b4327fa9&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-22&pro=1&sts=1&dd=1
34,Happy Birthday Card - DIGITAL Download - Printable Birthday Card Featuring Blue Floral Balloons - Printable Elegant Happy Birthday Card,10.52,219.0,https://www.etsy.com/listing/1553766574/happy-birthday-card-digital-download?click_key=a77bc48d307ea27e852c7f505f9b9faf19a9ffd6%3A1553766574&click_sum=fb37804d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-23&sts=1&dd=1
35,"Greeting Card Drag & Drop Canva Template Bundle 5x7 4x6 and 4.75x4.75, Canva Template, Printable Card Template, Commercial Use Card Template",13.89,1100.0,https://www.etsy.com/listing/1520771838/greeting-card-drag-drop-canva-template?click_key=18f121dc219b7df6873341e07288d8f599fb0ef0%3A1520771838&click_sum=b53138cd&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-24&pro=1&sts=1&dd=1
36,Big 50 Birthday Invitation Bundle | 50th Birthday Party Invite | Editable Fifty Bday Celebration Card | Canva Template | Black and Gold Card,23.48,307.0,https://www.etsy.com/listing/1661941832/big-50-birthday-invitation-bundle-50th?click_key=bcf0aa0fa909b41a3404d8533dcf08ed967a0fb4%3A1661941832&click_sum=77905fe7&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254793-1-13&pro=1&sts=1&dd=1
37,Frozen Birthday Invitation | Elsa Birthday Invitation | Elsa Party | Invite | Editable Birthday Template Instant Download | Frozen 4,37.64,3000.0,https://www.etsy.com/listing/1520957217/frozen-birthday-invitation-elsa-birthday?click_key=6e3b1c0466e946a6a70ad65ec39dec1e18a6d530%3A1520957217&click_sum=367c45a3&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254793-1-14&pro=1&sts=1&dd=1
38,Editable Gold Birthday Invitation Card Luxury Birthday Invite Gold 60th Birthday Invitation Card Download Gold Birthday Party Card Editable,5.08,3.0,https://www.etsy.com/listing/1674812543/editable-gold-birthday-invitation-card?click_key=e36f261fd706ff5e56bf85407aee91c57d080e26%3A1674812543&click_sum=66e34f50&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254793-1-15&pro=1&dd=1
39,Princess Birthday Invitation Girl Princess Birthday Party Invite Pink Princess Theme Editable Template Instant Digital Download Printable,20.99,3000.0,https://www.etsy.com/listing/1310527147/princess-birthday-invitation-girl?click_key=4ccccc1fc53fc224979ad8e1baf2e33932d2c222%3A1310527147&click_sum=a917fda7&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254793-1-16&pro=1&bes=1&sts=1&dd=1
40,"Cute Cat Meme Happy Birthday Card Digital Download | My Love and Affection | Funny Gift For Boyfriend, Girlfriend, Husband - Her or Him",19.98,4600.0,https://www.etsy.com/listing/1223773333/cute-cat-meme-happy-birthday-card?click_key=0ce9fc75bf3a5977befeb4c7e82f4d30a8919067%3A1223773333&click_sum=6b24e383&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-25&sts=1&dd=1
41,"Printable Birthday Card, Instant Download, Digital Greeting Card, Happy Birthday Card, Print at Home",12.55,141.0,https://www.etsy.com/listing/1450104877/printable-birthday-card-instant-download?click_key=040a583c2a4289c776c86ba985fecf45a7ec528e%3A1450104877&click_sum=190d505d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-26&pro=1&sts=1&dd=1
42,"Greeting Card Template Bundle for 5x7 4x6 and 4.75x4.75, Canva Template, Drag and drop, Printable Card Template, 12 templates,Commercial Use",11.86,76.0,https://www.etsy.com/listing/1535311534/greeting-card-template-bundle-for-5x7?click_key=d5b96bd9b30b0fc4560763614d048567541d595f%3A1535311534&click_sum=7aa9df3f&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-27&pro=1&sts=1&dd=1
43,Birthday box cards !Digital Cutting File!,11.31,1600.0,https://www.etsy.com/listing/928306050/birthday-box-cards-digital-cutting-file?click_key=b6c1926323e9bc2dc23921830191b4fc37bf08cb%3A928306050&click_sum=72b938d5&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-28&pro=1&bes=1&dd=1
44,"1000 Digital Products Ideas To Create And Sell Today For Passive Income, Etsy Digital Downloads Small Business Ideas and Bestsellers to Sell",8.01,19600.0,https://www.etsy.com/listing/1357028341/1000-digital-products-ideas-to-create?click_key=aec7c6bf31da203e22d4776d56c9cb85038eb562%3A1357028341&click_sum=135c343e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-29&pro=1&pop=1&sts=1&dd=1
45,Printable Pop-Up/PDF Birthday Card Template and SVG for Cricut or Silhouette (digital download) DIY,19.98,3.0,https://www.etsy.com/listing/1388193094/printable-pop-uppdf-birthday-card?click_key=5616b26d06a73facf63338b9b8c80aa7b83f89fe%3A1388193094&click_sum=be51b08e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-30&dd=1
46,"Printable Dog Birthday Card, Printable Birthday Card Funny, Digital Birthday Card from Dog, 5x7 Greeting Card, Printable Envelope",15.81,876.0,https://www.etsy.com/listing/1046469069/printable-dog-birthday-card-printable?click_key=5d9a86bc64ddef3f04af66aea7d03c15c2f265f1%3A1046469069&click_sum=1607a9a7&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-31&bes=1&sts=1&dd=1
47,DIY Pop-up Happy Birthday Cake Card Template | SVG & PDF digital download | 3D paper cutting,19.98,35.0,https://www.etsy.com/listing/1311173466/diy-pop-up-happy-birthday-cake-card?click_key=215aa5d44c3dec88438690774597cdb02256402a%3A1311173466&click_sum=b1508d08&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-32&dd=1
48,"Drag and Drop Greeting Card Templates, Editable Canva Templates, Blank Templates, 4x6, 5x7, 4.75x4.75 Blank Foldable Cards, Instant Download",15.86,726.0,https://www.etsy.com/listing/1491024177/drag-and-drop-greeting-card-templates?click_key=ab57977eb58e209cb97df9abd0bf607acffde666%3A1491024177&click_sum=0a52b09f&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-33&dd=1
49,Printable Thank You Card Floral Thank You Card Flower Thank You Card Print at Home Thanks Card Thank You Card For Her Digital Download,3.79,5400.0,https://www.etsy.com/listing/1542028505/printable-thank-you-card-floral-thank?click_key=672c94cfa0cf7c7bb34349cacc5f1905c181a1f5%3A1542028505&click_sum=1473ecdc&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-34&pro=1&bes=1&sts=1&dd=1
50,"Photo Collage Happy Birthday Card Template,Personalized Happy Birthday Folded Card,Printable Birthday Card Template,Digital Greeting Card",20.59,,https://www.etsy.com/listing/1634633856/photo-collage-happy-birthday-card?click_key=c90578b087d7ac428da1cf6c5cd8de17f4d40ca7%3A1634633856&click_sum=bca272c3&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-35&pro=1&dd=1
51,"Personalized Birthday Card svg, SVG Cut File for Birthday Card with envelop svg cut file",11.37,112.0,https://www.etsy.com/listing/1427204011/personalized-birthday-card-svg-svg-cut?click_key=b7fc69c73363e62a4611e3b246e44e2c54079e83%3A1427204011&click_sum=3b0e418a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-36&bes=1&dd=1
52,"Printable Birthday Card, Instant Download, Digital Greeting Card, Happy Birthday Card, Print at Home",7.88,61.0,https://www.etsy.com/listing/1561081326/printable-birthday-card-instant-download?click_key=541c6fa44677da954b944d8aaa14036abc248ee8%3A1561081326&click_sum=20a12000&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-37&pro=1&sts=1&dd=1
53,Happy Birthday Card Daisies SVG | Birthday Celebrations | Layered SVG | Cricut | Cut Out Card | Commercial Use - Free Envelope Template,13.82,130.0,https://www.etsy.com/listing/1465782526/happy-birthday-card-daisies-svg-birthday?click_key=c783d48d85955897e8dd0974959a56a3642363a0%3A1465782526&click_sum=e340a740&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-38&pro=1&bes=1&dd=1
54,"Video Game Birthday Card Printable, Printable Gamer Birthday Card, For Teenager, For Son, Video Game, Gamer, Printable, Digital, Download",8.13,1000.0,https://www.etsy.com/listing/800389019/video-game-birthday-card-printable?click_key=fd105ef26b9a4fa891dbf8769c17252a4099b96f%3A800389019&click_sum=f26890d6&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-39&pro=1&sts=1&dd=1
55,"Funny Printable Congratulatory Card, Quarantine Downloadable Congratulatory Card, Congratulations Card, Two Sizes",5.04,1300.0,https://www.etsy.com/listing/962838492/funny-printable-congratulatory-card?click_key=7885793a52bf584d8befdda1d61230e9d197a44b%3A962838492&click_sum=60b2eeb2&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-40&dd=1
56,Happy Birthday Card - DIGITAL Download - Printable Birthday Card Featuring Colorful Balloons - Printable Happy Birthday Card -Printable Card,10.52,219.0,https://www.etsy.com/listing/1553325189/happy-birthday-card-digital-download?click_key=8e03f80754ab9fd4bc5bb350e469d57d4e637360%3A1553325189&click_sum=7b31dc58&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-41&sts=1&dd=1
57,"Eucalyptus Greenery Editable Blank Template, Printable Cards, Custom Sign, Greenery Template, Microsoft Word Editable, EUCL",19.79,471.0,https://www.etsy.com/listing/1415795640/eucalyptus-greenery-editable-blank?click_key=11c506f1037f53620115b175d1702897d4d3e9d2%3A1415795640&click_sum=83e23a36&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-42&pro=1&sts=1&dd=1
58,"Drag & Drop Greeting Card Templates | 4x6, 5x7, 4.75x4.75 Foldable Cards | Editable Canva Template | Blank Foldable Cards | Instant Download",25.09,124.0,https://www.etsy.com/listing/1458972662/drag-drop-greeting-card-templates-4x6?click_key=2e395e2a0367237d0faeb3dc25d1e2d446d39905%3A1458972662&click_sum=8326da57&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-43&pro=1&dd=1
59,Happy Birthday Card - DIGITAL Download - Printable Birthday Card Featuring Colorful Birthday Hats - Printable Happy Birthday Card -Printable,10.52,219.0,https://www.etsy.com/listing/1588191997/happy-birthday-card-digital-download?click_key=e6bb3c7a92bc33f14fc52779defad2acac85d99d%3A1588191997&click_sum=9ed2795c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-44&sts=1&dd=1
60,"Neon Gold Light Digital Party e-invite Template, Birthday Text Message Invitation, Downloadable Phone Party Evite, Black Neon Gold e-Invite",6.94,462.0,https://www.etsy.com/listing/1491603331/neon-gold-light-digital-party-e-invite?click_key=ad1be49353c83d38046a7450b0c90ec1f088ecf7%3A1491603331&click_sum=30ea609a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-45&pro=1&bes=1&dd=1
61,SVG: 3D/ ‘pop up’ Birthday card bundle. Birthday svg bundle. Card bundle. Happy birthday. Pop up card. Pop up flowers. 3D butterfly. SVG/PNG,30.01,5700.0,https://www.etsy.com/listing/1181113453/svg-3d-pop-up-birthday-card-bundle?click_key=71abc27d5422468b4a3a8a81d21b74f39cba9f11%3A1181113453&click_sum=8ba34dfe&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+template&ref=search_grid-254794-1-46&bes=1&sts=1&dd=1
